ID	score	actType	legMode
29874702	1202.1555120040382	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29874703	1168.9212162017275	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
30961056	1430.7866951289457	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
31128650	1129.6892409017917	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
31179974	1198.1732419815003	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
31420147	1205.535454200301	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
31502089	1335.8662107999219	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
31882953	1201.839600840825	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
31882954	1200.0617589311184	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
32068276	1194.2327604189363	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
32107184	1204.7669747257128	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
32289422	1197.1709143237028	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
32840598	1193.7047534699907	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
32922029	1202.8561865611928	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
32948392	1199.8478458739698	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
33008747	1202.4480632097393	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
33046421	1203.8442576648129	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
33250299	1192.1853876928453	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
33262080	1188.6284456604465	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
33635719	1200.2958178448114	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
33753371	1131.1586176040803	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
34013823	1415.556885760126	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
34356365	1202.8459194460859	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
34693504	1199.753308138955	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
34793533	1202.7484172043885	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
34974198	1196.6969799696549	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
35031325	1115.3751777759264	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
35171953	1447.075272870052	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
