27999083,467,2.66
29028763,364,12.07
27714140,491,5.95
33624130,528,16.26
32286062,371,6.62
27397893,1018,7.63
32394521,297,5.61
26758312,327,2.8
31574958,156,6.86
29366096,126,2.29
27544572,823,8.16
27819321,378,0
27820663,288,13.16
27397896,259,7.63
31420147,340,0.37
26992920,141,4.86
28546282,382,0.25
27467747,514,3.17
28665783,920,6.9
28161672,191,5.36
27120453,242,6.99
29134707,479,22.73
26905247,117,49.41
28203261,359,18.97
26992808,316,4.03
33675945,405,11.73
27723099,253,0.99
26992807,886,4.03
27260533,334,8.25
27723097,391,0.99
27495069,779,3.61
33008747,1,9.68
27382061,127,9.82
26815767,552,0.99
27317964,234,9.34
28663373,238,2.38
29838166,783,20.2
28663372,554,13.32
29040308,515,11.65
28301823,301,5.64
26710150,692,10.49
31091680,834,5.66
32289422,146,1.3
28629898,398,22.31
33937858,283,2.06
26814681,157,14
27117040,387,9.64
27609177,141,2.4
27611478,161,6.49
29838398,901,6.75
26973124,310,8.08
26884554,1,21.7
28581141,318,13.94
27376986,345,1.66
28981081,359,19.11
26804999,293,1.36
29436393,929,2.97
34731144,297,20.93
34668948,365,11.5
27581445,118,7.65
27581444,914,9.58
29241158,370,9.22
34898747,351,21.92
27946745,567,12.59
29150139,271,13.77
33038387,201,4.6
28111597,786,19.44
27056720,118,0.88
27179698,227,2.46
29015405,127,8.69
31882953,123,12.32
34688641,391,8.02
31136697,198,12.92
28338904,126,8.38
29612570,51,3.36
29150141,2057,0.27
28342043,234,12.3
27317443,647,2.47
27359048,311,12.43
27014091,1653,8.61
29107755,3547,8.49
27936841,177,9.02
27796219,122,11.99
27582675,6922,5.8
28661153,325,9.55
27413174,290,5.03
26918640,232,15.23
28150949,791,46.95
29152779,1006,9.23
27159863,368,3.67
26675332,168,11.43
32153781,405,0
27104043,248,26.85
26918639,831,15.23
30406769,522,13.28
29923502,254,0.25
28716384,439,0
27915918,122,1.22
27056719,118,0.88
29700592,115,19.62
29130643,477,32.41
28894009,314,9.88
32425013,127,3.78
33044840,359,4.22
29888922,409,13.03
29013791,485,6.05
29553322,171,9.99
29049289,147,9.24
27318751,305,21.12
28971240,178,5.85
28378037,444,8.13
29096296,835,5.86
29390245,901,10.97
27178172,906,23.7
28286168,453,14.49
27030498,502,0
28674767,310,1.82
26768742,385,3.58
27008203,446,12.46
35031325,296,11.85
29567250,321,7.85
27859869,264,12.63
28337972,718,3.65
27635061,292,4.6
29052345,297,68.7
27145374,1,4.85
27493290,196,10.71
26710753,1014,10.92
32757889,370,18.66
28684563,282,4.54
26697580,232,5.13
27138138,323,5.86
29288788,334,18.2
27733842,479,14.51
27288123,149,3.28
29617937,351,10.02
32262119,295,1.98
28114293,358,1
27764486,723,22.79
34857460,351,6.64
27578650,1,0
26995486,145,5.28
31116873,535,2.14
29549838,630,4.65
26803144,409,18.03
31306889,240,6.27
26771946,1178,35.52
28021892,91,10.06
29695576,288,4.79
32743397,492,9.45
28067973,377,8.36
27269838,172,12.93
27695237,185,6.38
28379275,445,15.6
27501481,1018,1.82
27878389,205,10.98
28709493,371,0.87
27803022,259,0.24
28721633,98,15.95
29149573,165,13.11
29149572,165,13.11
29229683,697,0.37
28160401,90,0.84
27138597,149,13.11
27504749,596,6.77
